ts;Observed mean wind speed the past hour at Nex - DMI station 06197 | 9F7Q/33/4W/DMI/metObs/wind_speed_past1h/06197 | 406512;Observed mean temperature past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/temp_mean_past1h/06193 | 406560;Observed mean temperature past hour at Nex - DMI station 06197 | 9F7Q/33/4W/DMI/metObs/temp_mean_past1h/06197 | 406432;Observed mean wind speed the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/wind_speed_past1h/06193 | 406640;Observed mean wind direction the past hour at Nex - DMI station 06197 | 9F7Q/33/4W/DMI/metObs/wind_dir_past1h/06197 | 406496;Observed mean wind direction the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/wind_dir_past1h/06193 | 406624
01/01/2023 00:00;6.9;8.6;9.5;7.1;226;221
01/01/2023 01:00;6.1;9.2;9.8;8.7;227;218
01/01/2023 02:00;8;9.9;10.2;10.6;228;219
01/01/2023 03:00;11.2;10.1;11.1;11.4;221;221
01/01/2023 04:00;11.8;9.7;11.5;12.3;232;233
01/01/2023 05:00;10.7;9.4;11.1;10;226;226
01/01/2023 06:00;11.4;9.8;11.2;11.4;223;226
01/01/2023 07:00;10.8;9.3;11.2;10.9;224;233
01/01/2023 08:00;9.8;9;11;11.3;235;234
01/01/2023 09:00;7.6;8.6;10.2;10.5;234;236
01/01/2023 10:00;8.9;8.5;10.8;9.5;230;234
01/01/2023 11:00;9;9;10.7;13.2;238;241
01/01/2023 12:00;7.5;8.5;10.5;11.7;248;238
01/01/2023 13:00;9.5;8.2;10.6;11.3;249;239
01/01/2023 14:00;8.3;7.8;9.3;10.6;250;241
01/01/2023 15:00;9.1;7.7;9;10.9;254;243
01/01/2023 16:00;8;7.5;8.7;10.9;252;245
01/01/2023 17:00;7.8;7.3;8.2;9.6;250;239
01/01/2023 18:00;6.9;7.4;7.8;8.8;247;236
01/01/2023 19:00;5.6;7.9;7.4;8.6;251;228
01/01/2023 20:00;5.8;8.1;7.8;9.1;242;227
01/01/2023 21:00;4.2;7.7;8.4;9.5;237;232
01/01/2023 22:00;3.9;8.2;8.1;8.6;224;221
01/01/2023 23:00;4.5;9.2;8.2;9.4;229;221
02/01/2023 00:00;4.1;8.8;8.1;7.7;237;219
02/01/2023 01:00;;9.1;;;241;219
02/01/2023 02:00;2.2;9.4;7.4;5.1;222;207
02/01/2023 03:00;3.1;8.9;7.6;4.7;210;199
02/01/2023 04:00;2;9.3;7.8;4.2;211;202
02/01/2023 05:00;3.6;9;8.1;3.7;188;196
02/01/2023 06:00;3.9;8.5;8.1;3.4;165;194
02/01/2023 07:00;3;8.4;7.6;1.4;128;147
02/01/2023 08:00;2.8;7.3;7.4;2;125;100
02/01/2023 09:00;2.2;8.6;7.4;4.9;165;182
02/01/2023 10:00;6.2;9.5;8.4;8.5;223;213
02/01/2023 11:00;6.4;9.5;8.7;9.5;228;217
02/01/2023 12:00;7.5;9.5;9;9.6;223;217
02/01/2023 13:00;8.1;9.6;9.4;9.3;225;215
02/01/2023 14:00;7.7;9.4;9.5;9.5;224;217
02/01/2023 15:00;9;9.1;9.8;10.4;229;228
02/01/2023 16:00;9.4;8.1;9.7;10.1;237;234
02/01/2023 17:00;11.5;7.4;9.1;12.6;245;244
02/01/2023 19:00;12.1;6.4;7;12;268;260
02/01/2023 20:00;10.9;6.3;6.9;11.1;257;255
02/01/2023 21:00;10.4;6.3;6.7;10.8;257;253
02/01/2023 22:00;10.6;6.4;6.4;10.8;255;245
02/01/2023 23:00;11;6.2;6.6;11.1;253;241
03/01/2023 00:00;11.1;6.3;6.4;13.4;252;250
03/01/2023 01:00;10.9;6.3;6.3;14.2;253;259
03/01/2023 02:00;10;6.1;6.2;14.3;259;262
03/01/2023 03:00;9.1;6;5.8;14.5;260;262
03/01/2023 04:00;9.8;5.8;5.5;15.6;258;258
03/01/2023 05:00;9.7;5.9;5.5;15.6;256;259
03/01/2023 06:00;10.3;5.8;5.6;15.2;258;261
03/01/2023 07:00;9.4;5.8;5.5;14.6;263;264
03/01/2023 08:00;9.5;5.8;5.6;13.9;262;264
03/01/2023 09:00;9;5.9;5.8;13.6;263;267
03/01/2023 10:00;9.6;6;5.9;13.1;262;268
03/01/2023 11:00;9;5.9;6;12.6;264;268
03/01/2023 12:00;8.6;5.8;6;11.8;265;269
03/01/2023 13:00;8.2;5.8;6.1;9.8;274;271
03/01/2023 14:00;7.8;5.7;5.8;11.8;273;264
03/01/2023 15:00;6.2;5.7;5.6;10.6;277;266
03/01/2023 16:00;5.7;5.5;5.2;10.1;272;265
03/01/2023 17:00;4.8;5.4;4.7;9;267;266
03/01/2023 18:00;3.3;5.4;4;8.4;263;264
03/01/2023 19:00;;;3.9;;;
03/01/2023 20:00;3.7;5.1;4.7;8.1;259;261
03/01/2023 21:00;4.4;5.1;4.6;8.1;250;251
03/01/2023 22:00;4.1;4.8;4.3;7.9;251;247
03/01/2023 23:00;2;4.4;3;6.1;237;239
04/01/2023 00:00;1.9;3.8;2.4;4;225;217
04/01/2023 01:00;1.5;3.2;2.4;2.9;200;197
04/01/2023 02:00;2.8;4;3.3;3.3;189;196
04/01/2023 03:00;4.6;4.4;4.5;3.2;178;181
04/01/2023 04:00;4.8;4.6;4.6;4.2;178;187
04/01/2023 05:00;5.8;4.4;4.8;3.9;182;185
04/01/2023 06:00;5.6;4.4;4.8;3.6;181;178
04/01/2023 07:00;6;4.5;4.8;4.1;176;169
04/01/2023 08:00;7.3;4.7;4.8;6.1;180;181
04/01/2023 09:00;8.2;4.6;4.8;6;180;185
04/01/2023 10:00;8.2;4.5;4.6;6;181;191
04/01/2023 11:00;9.1;4.9;4.9;6.9;189;200
04/01/2023 12:00;9.5;5.4;5.3;8.5;196;206
04/01/2023 13:00;9.9;5.8;5.7;9.3;210;211
04/01/2023 14:00;10.4;6.4;6.3;10.2;218;220
04/01/2023 15:00;9.8;7;6.8;11.4;228;238
04/01/2023 16:00;9;7.2;7.3;11.8;231;239
04/01/2023 17:00;9.3;7.2;7.6;10.3;234;236
04/01/2023 18:00;9.8;7.2;8.2;10.8;245;235
04/01/2023 19:00;9.8;7;8.4;11.6;243;240
04/01/2023 20:00;9.3;7;8.1;11.8;245;240
04/01/2023 21:00;10.5;7;7.9;12.7;252;245
04/01/2023 22:00;9.7;6.9;7.6;12.1;254;245
04/01/2023 23:00;9.8;6.8;7.6;11.1;253;240
05/01/2023 00:00;10;6.8;7.5;11.6;252;241
05/01/2023 01:00;10.4;6.7;7.4;11.7;252;241
05/01/2023 02:00;10.2;6.6;7.2;11.5;253;252
05/01/2023 03:00;9.6;6.5;7.2;11.5;262;256
05/01/2023 04:00;9.5;6.5;7;13.8;259;253
05/01/2023 05:00;10.4;6.3;6.6;14.6;258;257
05/01/2023 06:00;10.2;6.2;6.5;14;259;263
05/01/2023 07:00;10.3;5.7;6.4;13.5;267;280
05/01/2023 08:00;9.1;4.8;5.3;12.3;287;287
05/01/2023 09:00;8;4.4;4.3;12.1;291;292
05/01/2023 10:00;6.4;4.6;4.2;9.5;299;323
05/01/2023 11:00;5.7;4.1;4.4;9.3;348;35
05/01/2023 12:00;6;3.9;4.1;9.3;8;33
05/01/2023 13:00;6.1;3.9;3.9;9.2;13;39
05/01/2023 14:00;6;3.6;3.5;9.5;14;37
05/01/2023 15:00;6.7;3.6;3.2;9.8;12;36
05/01/2023 16:00;6.2;3.4;2.9;9.5;15;38
05/01/2023 17:00;6;3.2;2.8;9.3;14;45
05/01/2023 18:00;6.1;3.1;2.5;8.6;23;48
05/01/2023 19:00;5.2;2.4;2.4;7.8;26;50
05/01/2023 20:00;4.3;2.6;2.2;6.6;30;60
05/01/2023 21:00;4.2;2.5;2.3;5.7;40;63
05/01/2023 22:00;3.9;2.5;2.2;5.4;53;67
05/01/2023 23:00;3.7;2.3;2.2;4.6;53;81
06/01/2023 00:00;3;2.4;2;3.4;62;87
06/01/2023 01:00;3.5;2.4;2.3;2.9;79;99
06/01/2023 02:00;3.5;2.5;2.4;2.9;83;100
06/01/2023 03:00;4.1;2.5;2.3;3.2;88;103
06/01/2023 04:00;4.7;2.5;2.4;3;102;107
06/01/2023 05:00;5.5;2.6;2.4;3.2;112;108
06/01/2023 06:00;6.8;2.6;2.3;3.1;117;117
06/01/2023 07:00;7.9;2.6;2.3;3.1;122;128
06/01/2023 08:00;8.6;2.4;2.3;3.3;130;125
06/01/2023 09:00;8.8;2.2;2;3.2;132;126
06/01/2023 10:00;9.3;1.2;1.2;3.3;132;128
06/01/2023 11:00;9.2;1.1;1.2;3.7;134;118
06/01/2023 12:00;8.8;1.4;1.6;3.4;137;128
06/01/2023 13:00;7.8;1.4;2.1;3.2;145;129
06/01/2023 14:00;7.4;2;2.9;3.1;153;137
06/01/2023 15:00;4.9;3.2;3.8;4.8;169;174
06/01/2023 16:00;8.3;5.7;5.9;10.8;239;246
06/01/2023 17:00;9.5;5.8;6.2;11.4;275;268
06/01/2023 18:00;6.1;5.7;6;8.4;271;261
06/01/2023 19:00;4.9;6.1;5.4;10.3;262;259
06/01/2023 20:00;4.6;6.1;5.1;10.5;262;256
06/01/2023 21:00;4.6;6.1;4.9;9.8;261;254
06/01/2023 22:00;4.3;5.8;4.7;7.4;260;247
06/01/2023 23:00;4.3;5.6;4.6;6.6;262;242
07/01/2023 00:00;3.3;6;4.3;8;258;248
07/01/2023 01:00;3.7;6;4.5;7.5;254;241
07/01/2023 02:00;2.9;6;5.1;7.8;252;243
07/01/2023 03:00;2.7;6;5.4;7.9;248;244
07/01/2023 04:00;2.6;5.9;5;5.1;247;235
07/01/2023 05:00;1.8;5.7;4.4;4.4;223;223
07/01/2023 06:00;1.4;5.1;4;4;232;208
07/01/2023 07:00;2.3;5;4.5;4.2;226;202
07/01/2023 08:00;2.1;5.6;4.9;4;230;197
07/01/2023 09:00;0.6;5.4;5;3;176;194
07/01/2023 10:00;2.1;5.9;5.7;2.2;171;172
07/01/2023 11:00;4.5;6.6;6.2;3.2;188;189
07/01/2023 12:00;5;6.9;6;4.1;191;189
07/01/2023 13:00;4.2;7;5.8;4.5;190;192
07/01/2023 14:00;3.8;7;5.7;4.3;183;205
07/01/2023 15:00;3.8;6.4;5.9;4.6;178;192
07/01/2023 16:00;3.4;6.4;6;3.7;173;189
07/01/2023 17:00;3.1;6.6;6.1;4.6;174;197
07/01/2023 18:00;4.3;6.8;6.2;5.4;173;200
07/01/2023 19:00;4.8;6.9;6.2;5.1;181;198
07/01/2023 20:00;5.6;6.9;6.4;5.1;182;192
07/01/2023 21:00;5.3;6.8;6.5;5.4;182;196
07/01/2023 22:00;6.1;6.8;6.5;5.9;181;200
07/01/2023 23:00;5.7;7.3;6.6;5.3;181;191
08/01/2023 00:00;5.5;7.4;6.9;3.5;176;177
08/01/2023 01:00;5.8;;;;163;158
08/01/2023 02:00;5.9;7.2;6.7;3.2;168;168
08/01/2023 03:00;6.5;7.2;6.9;3.8;170;176
08/01/2023 04:00;6.4;6.9;6.7;3.7;168;174
08/01/2023 05:00;6.4;6.6;6.6;3.6;168;180
08/01/2023 06:00;6.3;6.6;6.5;4.2;172;182
08/01/2023 07:00;6.1;6.4;6.2;4.7;176;188
08/01/2023 08:00;5.8;6.3;5.8;3.4;171;176
08/01/2023 09:00;6;6.2;5.8;4;176;180
08/01/2023 10:00;5.9;6.2;5.8;3.8;181;182
08/01/2023 11:00;5.3;6.1;5.5;3.4;181;180
08/01/2023 12:00;5.3;5.6;5.2;4.7;183;201
08/01/2023 13:00;5.4;5.4;5.2;5.3;187;198
08/01/2023 14:00;4.8;5.5;5.3;4.8;191;201
08/01/2023 15:00;5;5.5;5.4;4.5;195;203
08/01/2023 16:00;5.1;5.6;5.5;4.6;198;200
08/01/2023 17:00;6.1;5.6;5.7;5.4;200;196
08/01/2023 18:00;6;5.8;5.9;4.8;202;206
08/01/2023 19:00;5.9;6;6.1;5.4;202;209
08/01/2023 20:00;5.6;6.2;6.3;5.5;200;209
08/01/2023 21:00;4.6;6.5;6.3;5.4;195;203
08/01/2023 22:00;4;6.7;6.4;4.3;195;202
08/01/2023 23:00;4.1;6.6;6.3;3.9;197;200
09/01/2023 00:00;3.5;6.5;6.2;3.5;192;197
09/01/2023 01:00;2.6;6.3;6.2;3.4;174;195
09/01/2023 02:00;3.1;6.1;6.1;4.6;179;204
09/01/2023 03:00;3.2;6;5.9;4.7;180;197
09/01/2023 04:00;3.7;5.8;5.8;4.6;183;191
09/01/2023 05:00;3.6;5.6;5.6;4.5;185;201
09/01/2023 06:00;3.6;5.4;5.5;3.9;185;192
09/01/2023 07:00;3.3;5.2;5.4;2.5;173;153
09/01/2023 08:00;3.8;5.3;5.4;0.9;163;107
09/01/2023 09:00;4;5.3;5.4;1.6;156;124
09/01/2023 10:00;4.9;5.3;5.2;0.9;152;182
09/01/2023 11:00;4.1;5.5;5.3;2.1;162;195
09/01/2023 12:00;3.6;5.7;5.2;2.1;173;177
09/01/2023 13:00;4.6;5.6;5.2;2.1;173;188
09/01/2023 14:00;4.7;5.4;5.3;2.9;184;201
09/01/2023 15:00;5.6;5.1;5.3;5;219;220
09/01/2023 16:00;5.3;5.1;5.2;7.7;231;241
09/01/2023 17:00;4.8;5.2;5.3;8.2;240;246
09/01/2023 18:00;3.9;5.4;5.3;8.1;249;249
09/01/2023 19:00;4;5.5;5.3;7.5;253;247
09/01/2023 20:00;4;5.5;5.3;6.1;247;242
09/01/2023 21:00;4.3;5.5;5.7;7.7;253;249
09/01/2023 22:00;4;5.6;5.7;7;260;256
09/01/2023 23:00;3;5.5;5.3;7.1;259;257
10/01/2023 00:00;2.3;5.5;4.8;5.8;250;251
10/01/2023 01:00;2.5;5.3;4.4;6.2;245;262
10/01/2023 02:00;2;5.2;3.3;5.8;244;241
10/01/2023 03:00;2.3;5.3;2.7;5.8;246;239
10/01/2023 04:00;2.9;5.2;3;4.6;254;233
10/01/2023 05:00;2.8;5;2.8;4.5;251;222
10/01/2023 06:00;4.3;5.2;3.5;5.1;254;222
10/01/2023 07:00;2;5.4;3.5;6.1;243;230
10/01/2023 08:00;1.9;5.7;3.5;8.2;238;247
10/01/2023 09:00;3.2;5.6;5.1;6.7;246;245
10/01/2023 10:00;4;5.8;5.6;7.8;243;244
10/01/2023 11:00;6.1;5.8;5.8;7.6;256;241
10/01/2023 12:00;5.8;6;5.9;7.4;254;245
10/01/2023 13:00;5.4;6;6;7.1;254;242
10/01/2023 14:00;5.8;5.7;5.9;7.4;250;240
10/01/2023 15:00;6.6;5.3;5.5;9.7;252;247
10/01/2023 16:00;6.6;5.1;5.5;9;255;248
10/01/2023 17:00;5.3;4.9;5.2;8.7;258;241
10/01/2023 18:00;3.6;5.4;5.2;7.1;234;236
10/01/2023 19:00;4;5.5;5.2;5.5;217;219
10/01/2023 20:00;4.8;5.7;5.6;4.9;198;209
10/01/2023 21:00;5.9;5.6;5.7;5.6;199;209
10/01/2023 22:00;6.3;5.6;5.7;5.3;197;210
10/01/2023 23:00;7.1;5.6;5.7;5.1;195;207
11/01/2023 00:00;6.6;5.5;5.3;5.1;188;196
11/01/2023 01:00;6.8;;;;185;194
11/01/2023 02:00;7.8;5.2;5.3;5.7;184;192
11/01/2023 03:00;8.1;5;5.1;6.1;181;191
11/01/2023 04:00;8.8;4.8;5;6.6;182;191
11/01/2023 05:00;9.7;4.3;4.8;7;183;195
11/01/2023 06:00;10.1;4;4.5;7.4;187;196
11/01/2023 07:00;10;4.2;4.3;8.1;188;201
11/01/2023 08:00;9.6;4.3;4.4;7.8;190;204
11/01/2023 09:00;9.7;4.4;4.4;8.9;192;203
11/01/2023 10:00;9.5;4.6;4.5;8.4;197;214
11/01/2023 11:00;9.1;4.9;4.7;8.7;200;211
11/01/2023 12:00;9;5.2;4.9;8.8;204;211
11/01/2023 13:00;8.4;5.3;5.1;8.3;208;212
11/01/2023 14:00;7.9;5.5;5.2;7.4;212;214
11/01/2023 15:00;7.4;5.8;5.4;6.9;214;211
11/01/2023 16:00;;;5.5;;;
11/01/2023 17:00;5.9;6.1;5.8;6.6;225;219
11/01/2023 18:00;5.6;6.3;6.1;7.2;225;219
11/01/2023 19:00;5.6;6.4;6.4;6.6;232;222
11/01/2023 20:00;5.7;6.1;6.4;6.8;235;230
11/01/2023 21:00;5.1;5.8;6.1;6.9;245;233
11/01/2023 22:00;4;5.7;5.7;7.1;240;232
11/01/2023 23:00;3.9;5.9;5.6;7.1;226;225
12/01/2023 00:00;5.8;6.2;5.7;7.6;222;222
12/01/2023 01:00;6.6;5.8;5.5;7.4;216;214
12/01/2023 02:00;7.7;5.6;5.4;7.8;213;215
12/01/2023 03:00;8.4;5.7;5.6;7.6;210;214
12/01/2023 04:00;10.2;5.8;5.9;8;211;216
12/01/2023 05:00;10.1;5.4;5.7;8.8;211;214
12/01/2023 06:00;10.6;5.6;5.8;9.1;214;217
12/01/2023 07:00;10;5.6;5.8;8.2;214;217
12/01/2023 08:00;9.5;5.5;5.9;7.1;210;212
12/01/2023 09:00;9.8;5.9;6;7.9;205;210
12/01/2023 10:00;9.6;6.1;6.2;7.8;205;212
12/01/2023 11:00;9.6;6.3;6.4;8.2;202;212
12/01/2023 12:00;10.5;6.4;6.4;8.2;195;208
12/01/2023 13:00;10.9;6.6;6.5;8.9;190;201
12/01/2023 14:00;12.9;6.7;6.7;10.6;194;203
12/01/2023 15:00;13.1;6.9;7;10.6;207;213
12/01/2023 16:00;12.9;7;7.2;11;213;218
12/01/2023 17:00;12.8;7;7.4;11.6;218;223
12/01/2023 18:00;11.9;6.9;7.7;14.2;235;240
12/01/2023 19:00;10.1;6.6;7.4;12.5;241;243
12/01/2023 20:00;8.3;6.4;7.2;10.2;242;239
12/01/2023 21:00;6.8;6.3;7.3;7.9;238;237
12/01/2023 22:00;4.1;6.4;6.6;6.5;218;230
12/01/2023 23:00;3.4;6.8;6.7;4.5;206;208
13/01/2023 00:00;5.9;7.2;7.1;2.7;198;188
13/01/2023 01:00;7.9;8;7.4;6.8;199;210
13/01/2023 02:00;8.2;7.7;7.4;7.6;207;212
13/01/2023 03:00;8.1;7.9;7.4;8.9;214;213
13/01/2023 04:00;8;7.7;7.6;9.4;224;216
13/01/2023 05:00;8.9;7.4;7.7;10.1;218;228
13/01/2023 06:00;7.8;6.5;7.3;8.5;244;225
13/01/2023 07:00;5.9;6.3;6.7;9.3;227;225
13/01/2023 08:00;7;6.2;6.9;8.9;233;229
13/01/2023 09:00;6.5;6.5;6.9;8.5;225;224
13/01/2023 10:00;7.8;6.8;7.3;7.6;219;220
13/01/2023 11:00;9.3;6.7;7.3;8;215;215
13/01/2023 12:00;9.5;6.8;7.2;9;214;217
13/01/2023 13:00;9.1;6.8;7.2;8.9;213;217
13/01/2023 14:00;9;6.9;7.1;8.6;210;216
13/01/2023 15:00;9.3;6.9;6.9;8.1;209;216
13/01/2023 16:00;9.7;7;7;8.9;212;217
13/01/2023 17:00;10.9;6.7;7.1;9.4;216;218
13/01/2023 18:00;10.5;6.7;7;9.6;215;217
13/01/2023 19:00;10.5;6.4;6.9;9.8;216;219
13/01/2023 20:00;11.4;6.5;6.9;10.2;213;220
13/01/2023 21:00;12;6.4;6.9;9.6;215;220
13/01/2023 22:00;12;6.2;6.5;10.5;217;222
13/01/2023 23:00;12.4;6;6.5;10.8;220;222
14/01/2023 00:00;12.7;6.1;6.4;13.9;221;231
14/01/2023 01:00;11.8;6.1;6.2;15.8;229;238
14/01/2023 02:00;13.4;6.1;6.5;16.6;241;247
14/01/2023 03:00;12.2;6.3;6.5;15.9;248;253
14/01/2023 04:00;10.8;6.3;6.3;15;249;251
14/01/2023 05:00;10;6.2;6.1;15.1;247;249
14/01/2023 06:00;10.2;6;6.1;13.6;247;245
14/01/2023 07:00;9.9;6;6.1;12.9;245;242
14/01/2023 08:00;10.8;6.1;6.3;12.5;247;241
14/01/2023 09:00;9.9;6;6.4;12.1;238;241
14/01/2023 10:00;9.7;6.1;6.5;12.8;238;240
14/01/2023 11:00;8.3;6.1;6.4;10.3;229;233
14/01/2023 12:00;9.3;6.2;6.3;9.8;224;229
14/01/2023 13:00;9.4;6.1;6.3;7.8;219;221
14/01/2023 14:00;8.4;6;6.1;7.2;212;218
14/01/2023 15:00;7.2;5.9;5.8;6.5;200;212
14/01/2023 16:00;7.5;5.9;6;5.8;189;201
14/01/2023 17:00;7.4;6.1;6.1;6.8;178;195
14/01/2023 18:00;8.4;6.2;6.2;6.9;177;191
14/01/2023 19:00;9.1;5.5;5.8;6.6;175;192
14/01/2023 20:00;9.8;5.3;5.4;7.5;169;186
14/01/2023 21:00;9.9;5.6;5.7;8.1;171;187
14/01/2023 22:00;10.2;5.9;5.8;9.2;178;192
14/01/2023 23:00;11.8;6.2;6.2;9.8;187;198
15/01/2023 00:00;12.8;6.5;6.5;10.5;192;204
15/01/2023 01:00;12.4;6.8;6.6;10.6;199;210
15/01/2023 02:00;12.5;6.8;7;10.4;203;215
15/01/2023 03:00;11.3;6.1;7;12.1;232;243
15/01/2023 04:00;9.3;5.7;6.1;9.8;245;235
15/01/2023 06:00;;;6;;;
15/01/2023 07:00;7.9;5.7;6;9.9;221;229
15/01/2023 08:00;8.4;5.8;5.9;9.4;220;226
15/01/2023 09:00;9;5.8;5.8;9.5;220;224
15/01/2023 10:00;9.4;5.8;6;8.2;219;223
15/01/2023 11:00;9.4;5.8;5.9;7.6;216;221
15/01/2023 12:00;10.3;5.8;5.7;7.9;218;218
15/01/2023 13:00;10.5;5.6;5.7;8;216;220
15/01/2023 14:00;11;5.5;5.7;8.2;215;219
15/01/2023 15:00;10.6;5.3;5.6;8.1;211;214
15/01/2023 16:00;11.3;5.4;5.6;9;211;217
15/01/2023 17:00;12.5;5.7;5.5;10.3;205;215
15/01/2023 18:00;14.4;5.5;5.9;11.5;207;215
15/01/2023 19:00;14.1;5.7;6;13.8;212;226
15/01/2023 20:00;14.3;5.5;5.8;16.1;226;230
15/01/2023 21:00;13.6;5.7;5.8;16.8;227;235
15/01/2023 22:00;13.3;5.6;5.8;17.3;231;238
15/01/2023 23:00;12.6;5.4;5.6;17.1;232;241
16/01/2023 00:00;11.9;5.5;5.5;16.3;233;241
